Event	ID	Name			Wwise Object Path	Notes
	186343927	Play_Youwin			\GUI\Play_Youwin	
	426840996	Play_Init			\GUI\Play_Init	
	474386569	Play_Next			\GUI\Play_Next	
	847470298	Open_Close_Door_Event			\Default Work Unit\Open_Close_Door_Event	
	1292086503	Play_Back			\GUI\Play_Back	
	2348692292	Play_Over			\GUI\Play_Over	
	2454594115	Play_Help			\GUI\Play_Help	
	2513968146	Play_LoopGen			\GUI\Play_LoopGen	
	3174629258	Play_GameOver			\GUI\Play_GameOver	
	3552663155	Play_Cash			\GUI\Play_Cash	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	45634969	gui_back	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\gui_back_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\GUI\gui_back		4730
	193371772	gui_next	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\gui_next_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\GUI\gui_next		4986
	427511858	Open_Close_Door	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\open_close_door_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\Open_Close_Door		323156
	444784154	gameOver	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\gameOver_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\GUI\gameOver		80356
	482623365	loop-gen	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\loop-gen_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\GUI\loop-gen		2822464
	507701302	gui_over	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\gui_over_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\GUI\gui_over		4986
	869195930	youwin	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\youwin_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\GUI\youwin		50676
	937521952	Init	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\Init_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\GUI\Init		136104
	1048744211	help	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\help_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\GUI\help		2945704
	1049674178	cash	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\cash_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\GUI\cash		15078

