Event	ID	Name			Wwise Object Path	Notes
	1203582209	Play_Long_Ambient			\Music & Ambients\Play_Long_Ambient	
	1704638915	Play_Ambient_Pasillo			\Music & Ambients\Play_Ambient_Pasillo	
	1827037115	Play_Ambient_Sala3			\Music & Ambients\Play_Ambient_Sala3	
	2902920709	Play_Alerta			\Music & Ambients\Play_Alerta	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	197167235	Ambient_Inici_Pasillo	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\dark soundscapes 14_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Ambient_Inici_Pasillo		3646728
	342893694	Ambient_Inici_Sala3	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\dark soundscapes 16_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Ambient_Inici_Sala3		486144
	354184061	dark soundscapes 11	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\dark soundscapes 11_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Ambient(Long)\dark soundscapes 11		3274632
	362224286	dark soundscapes 01	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\dark soundscapes 01_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Ambient(Long)\dark soundscapes 01		2915776
	438075751	dark soundscapes 12	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\dark soundscapes 12_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Ambient(Long)\dark soundscapes 12		2322144
	466521606	dark soundscapes 13	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\dark soundscapes 13_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Ambient(Long)\dark soundscapes 13		249912
	497909137	dark soundscapes 10	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\dark soundscapes 10_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Ambient(Long)\dark soundscapes 10		2448144
	585946315	Alerta	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\Almost alerta_602496C7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Estados\Alerta		704086
	615389019	dark soundscapes 08	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\dark soundscapes 08_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Ambient(Long)\dark soundscapes 08		3274632
	677139355	dark soundscapes 06	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\dark soundscapes 06_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Ambient(Long)\dark soundscapes 06		445680
	772078166	Almost ok	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\Almost ok_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Ambient(Long)\Almost ok		219952
	773649004	dark soundscapes 19	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\dark soundscapes 19_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Ambient(Long)\dark soundscapes 19		513144
	808935493	dark soundscapes 09	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\dark soundscapes 09_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Ambient(Long)\dark soundscapes 09		3225024
	900351120	dark soundscapes 15	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\dark soundscapes 15_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Ambient(Long)\dark soundscapes 15		3473064
	918214348	dark soundscapes 07	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\dark soundscapes 07_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Ambient(Long)\dark soundscapes 07		1792296
	1022880071	dark soundscapes 02	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\dark soundscapes 02_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Ambient(Long)\dark soundscapes 02		1890280

