Event	ID	Name			Wwise Object Path	Notes
	526096065	Play_Ayer_Tuve_Una			\Iris\Play_Ayer_Tuve_Una	
	1181951480	Play_GP_Bidon			\Iris\Gameplay\Play_GP_Bidon	
	1944364177	Play_GP_Poca_Energia			\Iris\Gameplay\Play_GP_Poca_Energia	
	2023934178	Play_GP_Poca_Vida			\Iris\Gameplay\Play_GP_Poca_Vida	
	2376878504	Play_Sala1			\Iris\Play_Sala1	
	2694084567	Play_GP_Naves_Preparadas			\Iris\Gameplay\Play_GP_Naves_Preparadas	
	3526099323	Play_GP_Agacharse			\Iris\Gameplay\Play_GP_Agacharse	
	3595090698	Play_Pasillo			\Iris\Play_Pasillo	
	3951885308	Play_GP_Esconderse_Bidones			\Iris\Gameplay\Play_GP_Esconderse_Bidones	
	4016846353	Play_GP_Disparo_Bloqueado			\Iris\Gameplay\Play_GP_Disparo_Bloqueado	
	4020926666	Play_GP_Puerta_Bloqueada			\Iris\Gameplay\Play_GP_Puerta_Bloqueada	
	4150758548	Play_Abriendo_Compuertas			\Iris\Play_Abriendo_Compuertas	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	88444989	Iris_Poca_Energia	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\Poca_Energia_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Iris\Iris_Poca_Energia		153928
	139045063	Iris_Naves	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\naves_preparadas_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Iris\Iris_Naves		228304
	241038503	Iris_Poca_Vida	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\Poca_Vida_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Iris\Iris_Poca_Vida		138808
	264910040	Abriendo Compuerta_BigBossDeath	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\Abiendo_Compuertas_Despres Mort_FinalBoss_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Dialogos\Abriendo Compuerta_BigBossDeath		413992
	364103296	Iris_Disparo_Bloqueado	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\Disparo_Bloqueado_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Iris\Iris_Disparo_Bloqueado		85456
	430266122	Sala1	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\Sala1_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Dialogos\Sala1		873432
	677660058	Iris_Esconderse_Bidones	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\Esconderse_Bidones_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Iris\Iris_Esconderse_Bidones		294040
	752280793	Pasillo	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\Pasillo_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Dialogos\Pasillo		341920
	753798982	Iris_Agacharse	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\Agacharse_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Iris\Iris_Agacharse		145360
	765819752	Iris_Puerta_Bloqueada	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\Puerta_Bloqueada_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Iris\Iris_Puerta_Bloqueada		171928
	766947946	Iris_Bidon	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\Bidon_movimiento_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Iris\Iris_Bidon		187408
	891960782	Logan-Ayer tuve una pesadilla	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\Logan-Ayer tuve una pesadilla horrible_45687BFF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Dialogos\Logan-Ayer tuve una pesadilla		1118728

