Event	ID	Name			Wwise Object Path	Notes
	2362998284	Play_Tunel			\Iris\Play_Tunel	
	2376878507	Play_Sala2			\Iris\Play_Sala2	
	2956457724	Play_Sala3B			\Iris\Play_Sala3B	
	2956457727	Play_Sala3A			\Iris\Play_Sala3A	
	3006790453	Play_Sala4B			\Iris\Play_Sala4B	
	3006790454	Play_Sala4A			\Iris\Play_Sala4A	
	3621014260	Play_Elevator			\Iris\Play_Elevator	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	110529738	Sala4B	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\Sala4B_E106FFBE.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Dialogos\Sala4B		470972
	117715303	Sala3B	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\Sala3B_Versio_Cut_E106FFBE.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Dialogos\Sala3B		175607
	341959684	Tunnel	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\Tunel_E106FFBE.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Dialogos\Tunnel		276024
	405981009	Sala4A	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\Sala4A_E106FFBE.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Dialogos\Sala4A		188563
	426310337	Final Theme	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\Final Theme_E106FFBE.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Musica Finales Cin Fin_Cred\Final Theme		1048136
	493938362	Update_brazo	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\actualizacion de brazo v2_E106FFBE.wem		\Actor-Mixer Hierarchy\Default Work Unit\Various\Sala2_Update_Dialogo\Update_brazo		175028
	761229201	Musica Creditos	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\Final_Theme_Loop_951343B8.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Musica Finales Cin Fin_Cred\Musica Creditos		183900
	953393735	Sala3A	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\Sala3A_version2_E106FFBE.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Dialogos\Sala3A		86374
	959572413	Elevator	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\Elevator_E106FFBE.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music&Ambient\Dialogos\Elevator		387944
	999865395	Sala2	C:\Users\Public\Documents\Dev\WwiseProject\AlmostHuman\.cache\Windows\SFX\Sala2_E106FFBE.wem		\Actor-Mixer Hierarchy\Default Work Unit\Various\Sala2_Update_Dialogo\Sala2		68678

